Corporation,ROE - Return On Equity,Net Profit Margin,Operating Cash Flow Per Share,Debt/Equity Ratio
Masonite International Corp.,-4.5531,-2.0319,0.9366,0.685
Matador Resources Company,12.7812,25.6267,0.5012,0.3903
Microchip Technology Inc.,18.5103,20.468,0.4382,0.478
"NIKE, Inc.",25.7575,10.6957,0.9827,0.0992
"NN, Inc.",4.7306,1.6817,-0.1572,2.1309
"National Air Cargo Holdings, Inc.",20.6729,16.7196,0.5191,2.1772
Oceaneering International Inc.,25.8423,11.7042,1.8522,0.4486
Olin Canada ULC,16.2201,7.1014,0.4715,0.6276
Orion Engineered Carbons GmbH,24.1506,-4.243,4.5478,12.1274
Owens & Minor Inc.,6.7118,0.6981,-2.3035,0.6142
"PATTERSON COMPANIES, INC",11.8936,5.7087,0.7083,0.4772
PBF Logistics LP,-17.0606,50.4419,0.402,-4.8561
"PDL BIOPHARMA, INC.",69.9866,55.4422,-0.0045,0.9811
"PPG Industries, Inc.",21.0636,14.2113,-0.7066,0.7624
Performance Food Group Inc.,3.5706,0.1133,-0.2412,3.3621
Pilgrim's Pride Corp.,36.8292,6.5336,2.5911,0.6112
Rio Tinto PLC,11.9042,13.6938,-0.4305,0.4619
Rite Aid Corp.,4.0658,4.0847,3.5303,0.1995
Royal Dutch Shell PLC,9.1229,3.562,-1.8712,0.246
"SMART Modular Technologies (Global), Inc.",-537.689,-7.2188,1.4734,28.5912
SS&C Technologies Holdings Europe S.A.R.L.,9.7371,17.0769,0.2295,0.4602
Spirit Airlines Inc.,22.4773,11.6725,0.8959,0.1452
Stericycle Inc.,17.116,12.7741,0.5632,0.8654
SunOpta Inc.,5.5161,1.188,-0.08,0.235
"TTM Technologies, Inc.",3.3877,1.5989,-1.3731,0.8135
Targa Resources Corp.,16.6568,1.1873,9.0047,1.2082
Teva Capital Services Switzerland GMBH,13.0251,15.0701,2.1673,0.4422
Teva Pharmaceutical Industries Ltd.,13.0251,15.0701,2.1673,0.4422
"Townsquare Media, Inc.",-4.9259,-4.6463,3.6737,1.5401
Turkcell Iletisim Hizmetleri A.S,13.0901,12.1639,-0.2212,0.2213
Turkcell Iletisim Hizmetleri A.S.,13.0901,12.1639,-0.2212,0.2213
United States Cellular Corp.,-1.4188,-1.1045,-1.3856,0.3402
United Utilities Water Finance PLC,18.4629,7.579,1.3693,0.1027
United Utilities Water Finance Plc,23.0329,10.231,1.4669,0.0722
Vista Outdoor Inc.,4.8235,3.8172,-0.2807,0.206
Wabash National Corp.,14.433,2.8446,0.7539,1.1496
Waste Connections Inc.,18.9883,11.1836,-2.5066,1.2679
"Waste Connections, Inc.",18.9883,11.1836,-2.5066,1.2679
Wendy's Company,6.7784,6.0763,-0.15,0.8373
Wendy's International Inc.,6.7784,6.0763,-0.15,0.8373
Wolverine World Wide Inc.,14.2751,4.8205,1.0974,0.9603
"XPO Logistics, Inc.",-3.9432,-4.5574,2.5105,0.3517
Yamana Gold Inc.,3.8189,-25.7424,-0.6779,0.1662
Zebra Technologies Corp.,3.0769,1.915,1.0276,3.0385
"AVANGRID, Inc.",1.812,6.2514,0.0766,0.3252
Adient US LLC,9.381,2.3666,-4.2644,0.0102
Allegion plc,520.8755,7.4416,0.0195,51.2828
Alphabet Inc.,13.5859,21.1044,4.653,0.0434
Altera Corp.,-26.0021,3.7164,0.1846,-1.9786
Altera Corporation,-26.0021,3.7164,0.1846,-1.9786
Amneal Pharmaceuticals LLC,3.6706,4.5321,0.8183,0.3997
Armstrong World Industries Inc.,7.5312,11.7004,-0.125,1.2855
Autoliv Inc.,13.1917,4.9817,0.7766,0.4438
Axalta Coating Systems LLC,8.3947,2.2287,0.618,3.0157
"Axalta Coating Systems, LLC",8.3947,2.2287,0.618,3.0157
Black Hills Gas LLC,9.6563,-2.5458,2.3006,1.317
Boyd Gaming Corp.,-11.5559,-2.4759,-0.213,7.7721
British American Tobacco PLC,62.8951,24.286,-0.3628,2.1084
"Burlington Resources, Inc.",-151.9682,2.9335,0.5136,-13.0937
"CDK Global, Inc.",65.6034,11.3166,0.3681,3.2352
CIENA Corporation,1.8791,0.477,1.3333,2.0522
CLEARWATER,11.7892,3.1946,1.5742,1.1982
CONSOL Energy Inc.,29.8935,21.5943,10.4295,0.2708
"CVR Partners, LP",16.0917,21.4534,-5.5303,0.3236
Cadence Design Systems Inc.,18.3427,14.8298,0.1786,0.2495
"Cadence Design Systems, Inc.",18.3427,14.8298,0.1786,0.2495
"Caesars Entertainment Resort Properties, LLC",42.1858,15.8635,0.1495,3.2004
Callon Petroleum Co.,-66.201,-180.3726,-6.943,0.9057
Callon Petroleum Company,-66.201,-180.3726,-6.943,0.9057
Cameco Corporation,6.6724,7.6501,-0.2076,0.2739
"Casa Systems, Inc.",82.3704,10.0209,-1.2126,0.0945
Coca-Cola European Partners PLC,46.3312,8.0227,0.8455,2.7617
Coca-Cola European Partners plc,46.3312,8.0227,0.8455,2.7617
Compass Minerals Canada Corp.,24.8867,14.3988,4.093,1.1301
Consol Energy Inc.,29.8935,21.5943,10.4295,0.2708
"Constellation Brands Canada, Inc.",15.8493,16.1093,1.4101,1.2076
"CoreCivic, Inc.",13.1638,11.842,0.2398,0.8035
Coty Inc.,26.343,5.2899,0.0447,2.6756
DISH Network Corp.,30.6438,5.2699,0.1548,5.0062
Diamondback Energy Inc,-25.9743,-123.2566,-0.0777,0.2313
"Diebold Nixdorf, Inc.",19.3403,4.1831,0.9168,0.911
Dish Network Corporation,30.6438,5.2699,0.1548,5.0062
"Donnelley Financial Solutions, Inc.",16.7282,9.9381,-0.1358,0.0609
Eldorado Gold Corporation,-41.3814,-321.6369,-0.4193,0.1503
"Energizer Holdings, Inc.",6.6556,-0.2452,-0.9341,-16.5141
Entegris Inc.,10.001,7.4271,-0.0458,0.8171
"Enviva Partners, LP",4.4376,4.1633,2.7255,0.5246
FedEx Corporation,7.0033,2.2127,4.9421,0.4848
Fortis Inc.,9.8441,10.8221,4.6012,1.1776
"GLOBAL WATER RESOURCES, INC.",106.4796,66.8513,-0.4034,5.2892
Global Payments Inc,23.8305,9.6031,-0.2024,1.6188
Global Payments Inc.,23.8305,9.6031,-0.2024,1.6188
Gogo Inc.,-162.5698,-21.4844,0.9753,8.518
Gray Television Inc.,9.1552,6.5792,-0.7528,2.8422
HudBay Minerals Inc.,-18.5436,-37.4051,-0.4739,0.7133
ICON Plc,31.3904,15.209,1.9512,0.4564
"International Seaways, Inc.",12.5142,34.7987,16.3266,0.4301
"Iron Mountain US Holdings, Inc.",23.6855,4.0971,0.1503,9.1669
Kaiser Aluminum Corp.,-30.5527,-16.9984,2.6097,0.2514
Kronos Inc.,-37.5839,-12.8707,-0.3072,0.7383
"Lannett Company, Inc.",15.7676,5.229,0.9173,0.0396
Lennar Corp.,13.7679,8.3825,1.6724,0.9743
"Medpace Holdings, Inc.",-2.0976,-2.4155,0.3032,0.9873
"NEOGENOMICS, INC.",-1.21,-2.6623,-0.0631,0.3407
Newell Brands,14.1973,5.9165,-0.0898,1.6743
Nordstrom Inc.,29.5082,5.331,-0.3751,1.2832
Nvidia Corporation,14.2825,13.4772,0.0515,0.3164
"Oceaneering International, Inc.",14.6327,7.5426,-1.0331,0.5041
"PDC Energy, Inc.",-5.3045,-11.4694,4.0459,0.4991
PTC Inc.,5.5288,3.7887,-0.9876,0.7767
PartnerRe Ltd.,44.7355,22.8458,1.0688,0.539
Peabody Energy Corporation (DIP),-25.5016,-10.8095,-21.7798,2.1958
"Qorvo, Inc.",-0.5769,-1.1049,1.5679,0.1976
"SPX FLOW, Inc.",6.8786,3.6634,-2.1779,0.8123
Signet Jewelers Ltd,15.2874,7.1433,2.0334,0.4505
"SiteOne Landscape Supply Holding, LLC",32.9157,-1.0196,1.1827,2.1503
Stryker Corp.,16.9075,14.4681,-2.0797,0.4697
TAL International Group Inc.,23.3146,16.5947,0.0411,0.5169
Tecnoglass Inc.,-29.1434,-4.5492,0.2652,3.6777
"Tesla, Inc.",-82.0024,-21.9639,-0.7261,2.488
The Chefs' Warehouse,9.6836,1.7071,-0.0894,0.9778
Thermo Fisher Scientific (Finance I) B.V.,9.2247,11.2164,1.0149,0.7088
Viacom Inc.,77.9585,1.0791,5.9227,1.4627
"Welbilt, Inc.",12.9974,10.0057,-0.4174,0.0022
Westlake Chemical Corp.,18.6697,14.4074,0.4307,0.2128
Xerox Corp.,9.7833,7.9896,-0.6035,0.6973
YPF Sociedad Anonima,3.6742,2.9327,-3.0941,0.8779
iHeartCommunications Inc.,11.8335,8.0626,0.0907,0.1523
